tanggal,pm10,pm25,so2,co,o3,no2,Tavg,RH_avg,RR,ss,ff_avg,DDD_CAR_cos,DDD_CAR_sin
2025-06-30,65.0,102.0,26.0,24.0,3.0,47.0,28.1,79.0,2.1,0.4,1.0,0.0,0.0
2025-07-01,43.0,65.0,27.0,12.0,9.0,25.0,28.7,78.0,17.9,0.0,1.0,0.0,0.0
2025-07-02,36.0,87.0,28.0,15.0,9.0,33.0,28.2,78.0,0.0,0.0,1.0,0.0,0.0
2025-07-03,45.0,79.0,28.0,20.0,10.0,42.0,28.2,79.0,13.0,0.0,0.0,0.0,0.0
2025-07-04,49.0,75.0,29.0,20.0,11.0,41.0,28.7,74.0,0.0,0.0,0.0,0.0,0.0
2025-07-05,57.0,150.0,31.0,20.0,13.0,44.0,29.3,74.0,0.0,7.6,1.0,0.0,0.0
2025-07-06,51.0,73.0,28.0,14.0,19.0,32.0,26.7,83.0,35.2,6.6,1.0,0.0,0.0
